Numero Factura;Fecha y Hora;Nombre Cliente;Documento Cliente;Nombre Producto;Codigo de Barras;Cantidad;Precio;Descuento Porcentaje;Metodo Pago;Subtotal Factura;IVA Factura;Total Factura;Usuario Vendedor;Anulada
FAC-659;2026-07-01;;;CHAQUETAS CABALLERO JEAN OVEJERA (XL);25215432;1;110000;0;Transferencia o depósito;110000;0;110000;admin;NO
FAC-658;2026-07-01;;;CAMISETAS CABALLERO COLOMBIA AAA AZUL (L);11231023;1;70000;0;Transferencia o depósito;70000;0;70000;admin;NO
FAC-657;2026-07-01;;;BUSOS UNISEX ALGODON CUELLO REDONDO ESTAMPADO (M);2632125;1;44000;0;Tarjeta de débito;44000;0;44000;admin;NO
FAC-656;2026-07-07;;;CAMISETAS CABALLERO CUELLO REDONDO TIPO GALLETA (XL);11229132;1;42000;0;Efectivo;42000;0;42000;admin;NO
FAC-655;2026-07-01;;;CHAQUETAS CABALLERO CANGURO AIR (L);2526823;1;68000;0;Efectivo;68000;0;68000;admin;NO
FAC-654;2026-06-30;;;CORREAS CABALLERO FERREGAMO AAA (UN);2223270;1;48000;0;Transferencia o depósito;48000;0;48000;admin;NO
FAC-654;2026-06-30;;;CHAQUETAS CABALLERO JEAN OVEJERA (L);25215423;1;110000;0;;110000;0;110000;admin;NO
FAC-654;2026-06-30;;;CAMISETAS CABALLERO POLO SEDA FRIA (L);11221823;1;48000;0;;48000;0;48000;admin;NO
FAC-654;2026-06-30;;;JEANS CABALLERO CLASICO (30);127813;1;70000;0;;70000;0;70000;admin;NO
FAC-654;2026-06-30;;;CAMISAS CABALLERO JEAN (M);10215225;1;70000;0;;70000;0;70000;admin;NO
FAC-653;2026-07-02;;;CAMISETAS DAMA COLOMBIA AAA AMARILLA MANGA LARGA (S);11131227;1;60000;0;Transferencia o depósito;60000;0;60000;admin;NO
FAC-652;2026-07-02;;;CAMISETAS DAMA COLOMBIA AAA AMARILLA MANGA LARGA (S);11131227;1;60000;0;A convenir;60000;0;60000;admin;NO
FAC-651;2026-06-30;;;BUSOS UNISEX MUNDIAL 2026 (L);26319423;1;70000;0;Efectivo;70000;0;70000;admin;NO
FAC-651;2026-06-30;;;CAMISETAS CABALLERO COLOMBIA AAA AMARILLA (S);1128827;1;60000;0;;60000;0;60000;admin;NO
FAC-651;2026-06-30;;;CAMISETAS CABALLERO COLOMBIA AAA AMARILLA (L);1128823;1;60000;0;;60000;0;60000;admin;NO
FAC-651;2026-06-30;;;LEGGINS DAMA LICRA (XL);44116732;1;32000;0;;32000;0;32000;admin;NO
FAC-650;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (L);1128723;1;70000;0;A convenir;70000;0;70000;admin;NO
FAC-649;2026-07-02;;;CAJAS REGALO UNISEX COLOMBIA (UN);213860;1;4000;0;Transferencia o depósito;4000;0;4000;admin;NO
FAC-649;2026-07-02;;;CAMISETAS CABALLERO COLOMBIA AAA AZUL (L);11231023;1;70000;0;;70000;0;70000;admin;NO
FAC-648;2026-06-30;;;JEANS DAMA OVERSIZE XIOMARA (6);112861;1;110000;0;Transferencia o depósito;110000;0;110000;admin;NO
FAC-648;2026-06-30;;;BERMUDAS DAMA RODILLA (10);512393;1;64000;0;;64000;0;64000;admin;NO
FAC-647;2026-06-30;;;CONJUNTO CABALLERO ESPAÑA AAA LOCAL (S);40212927;1;70000;0;Tarjeta de débito;70000;0;70000;admin;NO
FAC-646;2026-06-30;;;MEDIAS CABALLERO TOBILLERA GRUESA (UN);2422650;3;4000;0;A convenir;4000;0;4000;admin;NO
FAC-646;2026-06-30;;;CAMISETAS CABALLERO SEDA FRIA (XL);11224832;1;40000;0;;40000;0;40000;admin;NO
FAC-645;2026-06-30;;;BUSOS CABALLERO DEPORTIVO (L-XL);26211524;2;32000;0;Tarjeta de débito;32000;0;32000;admin;NO
FAC-645;2026-06-30;;;BERMUDAS CABALLERO CAMUFLADO (28);526612;1;76000;0;;76000;0;76000;admin;NO
FAC-645;2026-06-30;;;BUSOS CABALLERO CUELLO REDONDO (M);26210825;1;56000;0;;56000;0;56000;admin;NO
FAC-645;2026-06-30;;;SUDADERA CABALLERO ALGODON (L);4121623;1;88000;0;;88000;0;88000;admin;NO
FAC-645;2026-06-30;;;PANTALONES UNISEX ALGODON RESORTADO (M);2334525;1;32000;0;;32000;0;32000;admin;NO
FAC-645;2026-06-30;;;BUSOS UNISEX ALGODON CAPOTA ESTAMPADO (L);2631823;1;48000;0;;48000;0;48000;admin;NO
FAC-645;2026-06-30;;;CAMISETAS CABALLERO OVERSIZE (L);11220223;1;58000;0;;58000;0;58000;admin;NO
FAC-645;2026-06-30;;;CAMISETAS UNISEX SEDA FRÍA (L);11324923;1;70000;0;;70000;0;70000;admin;NO
FAC-644;2026-06-30;;;GORRAS UNISEX COLOMBIA (UN);1438630;1;56000;0;A convenir;56000;0;56000;admin;NO
FAC-644;2026-06-30;;;CHAQUETAS UNISEX SELECCION COLOMBIA ENCAUCHETADA (XL);25329032;1;140000;0;;140000;0;140000;admin;NO
FAC-643;2026-06-30;;;SPLASH DAMA - (UN);46100;1;17000;0;Efectivo;17000;0;17000;admin;NO
FAC-643;2026-06-30;;;SPLASH CABALLERO - (UN);46200;1;15000;0;;15000;0;15000;admin;NO
FAC-642;2026-06-30;;;CAMISETAS CABALLERO COLOMBIA AAA AZUL (L);11231023;1;70000;0;Efectivo;70000;0;70000;admin;NO
FAC-641;2026-06-30;;;CAMISETAS CABALLERO POLO RAYAS (M);11229725;1;42000;0;Tarjeta de débito;42000;0;42000;admin;NO
FAC-640;2026-06-30;;;CHAQUETAS DAMA OVEJERA CUERINA (L);25120023;1;104000;0;Transferencia o depósito;104000;0;104000;admin;NO
FAC-640;2026-06-30;;;CHAQUETAS DAMA YOGA LICRA (XL);25127732;1;40000;0;;40000;0;40000;admin;NO
FAC-639;2026-06-30;;;PANTALONETAS CABALLERO DEPORTIVAS (L-XL);35211424;1;44000;0;Efectivo;44000;0;44000;admin;NO
FAC-639;2026-06-30;;;PANTALONETAS UNISEX ECONOMICA (VA);35312431;1;22000;0;;22000;0;22000;admin;NO
FAC-638;2026-06-29;;;CHAQUETAS CABALLERO POLO SENCILLA (L);25221923;1;90000;0;Efectivo;90000;0;90000;admin;NO
FAC-637;2026-06-29;;;BUSOS UNISEX MUNDIAL 2026 (XXL);26319434;1;70000;0;Tarjeta de débito;70000;0;70000;admin;NO
FAC-637;2026-06-29;;;GORRAS UNISEX VARIOS (UN);14327530;1;32000;0;;32000;0;32000;admin;NO
FAC-637;2026-06-29;;;CAMISETAS NIÑO COLOMBIA AAA AMARILLA (18);114887;1;70000;0;;70000;0;70000;admin;NO
